1.154701,   600000,    58422,   100000,    21527
1.128102,   600000,    53755,   100000,    19912
1.101504,   600000,    47818,   100000,    17855
1.074906,   600000,    43462,   100000,    16318
1.048308,   600000,    39378,   100000,    14788
1.021710,   600000,    33501,   100000,    12818
0.995112,   600000,    29559,   100000,    11317
0.968514,   600000,    25315,   100000,     9760
0.941915,   600000,    22143,   100000,     8599
0.915317,   600000,    18090,   100000,     7121
0.888719,   600000,    15224,   100000,     6016
0.862121,   600000,    12098,   100000,     4875
0.835523,   600000,     9659,   100000,     3938
0.808925,   600000,     7543,   100000,     3055
0.782327,   600000,     5628,   100000,     2303
0.755728,   600000,     4361,   100000,     1805
0.729130,   600000,     3356,   100000,     1405
0.702532,   600000,     2201,   100000,      942
0.675934,   600000,     1597,   100000,      674
0.649336,   600000,      982,   100000,      445
