1.000000,   800000,    99463,   100000,    29498
0.976965,   800000,    92809,   100000,    27316
0.953931,   800000,    84622,   100000,    25020
0.930896,   800000,    76647,   100000,    22735
0.907861,   800000,    68530,   100000,    20458
0.884827,   800000,    60749,   100000,    18207
0.861792,   800000,    53272,   100000,    16016
0.838757,   800000,    47885,   100000,    14211
0.815723,   800000,    39644,   100000,    11931
0.792688,   800000,    33407,   100000,    10081
0.769653,   800000,    27958,   100000,     8480
0.746619,   800000,    22746,   100000,     6965
0.723584,   800000,    18070,   100000,     5490
0.700549,   800000,    14290,   100000,     4322
0.677515,   800000,    10778,   100000,     3284
0.654480,   800000,     7794,   100000,     2383
0.631445,   800000,     5532,   100000,     1737
0.608411,   800000,     4057,   100000,     1209
0.585376,   800000,     2407,   100000,      725
0.562341,   800000,     1396,   100000,      438
