1.264911,   500000,    41361,   100000,    15627
1.235774,   500000,    37638,   100000,    14318
1.206637,   500000,    33450,   100000,    12683
1.177501,   500000,    30165,   100000,    11417
1.148364,   500000,    26327,   100000,     9999
1.119227,   500000,    22451,   100000,     8555
1.090090,   500000,    19475,   100000,     7382
1.060953,   500000,    16085,   100000,     6107
1.031817,   500000,    13510,   100000,     5164
1.002680,   500000,    11345,   100000,     4284
0.973543,   500000,     8983,   100000,     3410
0.944406,   500000,     6760,   100000,     2549
0.915269,   500000,     5055,   100000,     1893
0.886133,   500000,     3810,   100000,     1445
0.856996,   500000,     2771,   100000,     1032
0.827859,   500000,     1983,   100000,      732
0.798722,   500000,     1240,   100000,      475
0.769585,   500000,      729,   100000,      277
0.740449,   500000,      377,   100000,      152
0.711312,   500000,      208,   100000,       85
