1.000000,   800000,   113789,   100000,    28448
0.976965,   800000,   105305,   100000,    26381
0.953931,   800000,    96449,   100000,    24124
0.930896,   800000,    86232,   100000,    21522
0.907861,   800000,    78542,   100000,    19560
0.884827,   800000,    69385,   100000,    17374
0.861792,   800000,    61136,   100000,    15258
0.838757,   800000,    53669,   100000,    13472
0.815723,   800000,    46114,   100000,    11506
0.792688,   800000,    39719,   100000,     9804
0.769653,   800000,    32080,   100000,     8046
0.746619,   800000,    26870,   100000,     6682
0.723584,   800000,    21208,   100000,     5284
0.700549,   800000,    16013,   100000,     4029
0.677515,   800000,    13027,   100000,     3259
0.654480,   800000,    10188,   100000,     2545
0.631445,   800000,     7221,   100000,     1795
0.608411,   800000,     4972,   100000,     1240
0.585376,   800000,     3538,   100000,      881
0.562341,   800000,     2247,   100000,      554
