1.414214,   400000,    44002,   100000,    21508
1.381638,   400000,    40763,   100000,    19883
1.349062,   400000,    37500,   100000,    18328
1.316486,   400000,    34402,   100000,    16994
1.283910,   400000,    30930,   100000,    15275
1.251334,   400000,    28548,   100000,    14144
1.218758,   400000,    25689,   100000,    12725
1.186182,   400000,    23126,   100000,    11469
1.153606,   400000,    20031,   100000,     9969
1.121030,   400000,    17883,   100000,     8887
1.088454,   400000,    14959,   100000,     7546
1.055878,   400000,    12759,   100000,     6481
1.023302,   400000,    10772,   100000,     5462
0.990726,   400000,     8812,   100000,     4463
0.958150,   400000,     7186,   100000,     3647
0.925574,   400000,     5754,   100000,     2952
0.892999,   400000,     4251,   100000,     2242
0.860423,   400000,     3369,   100000,     1756
0.827847,   400000,     2375,   100000,     1283
0.795271,   400000,     1685,   100000,      926
