1.069045,   700000,    95864,   100000,    27144
1.044420,   700000,    86696,   100000,    24638
1.019795,   700000,    80540,   100000,    22888
0.995170,   700000,    74057,   100000,    21017
0.970545,   700000,    67267,   100000,    19048
0.945919,   700000,    60113,   100000,    16953
0.921294,   700000,    53056,   100000,    15004
0.896669,   700000,    46704,   100000,    13325
0.872044,   700000,    40739,   100000,    11608
0.847419,   700000,    34925,   100000,     9824
0.822794,   700000,    30122,   100000,     8552
0.798169,   700000,    25623,   100000,     7251
0.773544,   700000,    20852,   100000,     5880
0.748919,   700000,    16950,   100000,     4781
0.724294,   700000,    13961,   100000,     3914
0.699669,   700000,    10970,   100000,     3091
0.675043,   700000,     8787,   100000,     2433
0.650418,   700000,     6637,   100000,     1839
0.625793,   700000,     5206,   100000,     1446
0.601168,   700000,     3896,   100000,     1076
